X1_Luna,X2_ID_Categorie,X3_NR_Versiuni,X4_NR_Articole_Categorie,Y_RATA_ACTUALIZARE
3,1,0,18,0
3,1,0,18,0
3,1,0,18,0
3,1,0,18,0
3,1,0,18,0
3,1,0,18,0
3,1,0,18,0
3,1,0,18,0
3,1,0,18,0
3,1,0,18,0
3,1,0,18,0
3,1,0,18,0
3,1,0,18,0
3,1,0,18,0
3,1,0,18,0
3,1,0,18,0
3,1,0,18,0
3,1,0,18,0
3,1,0,18,0
3,1,0,18,0
3,1,0,18,0
3,1,0,18,0
3,1,1,18,0.0556
3,1,0,18,0
3,1,0,18,0
3,1,6,18,0.3333
3,1,0,18,0
3,1,0,18,0
3,1,0,18,0
3,1,0,18,0
3,1,0,18,0
3,1,0,18,0
3,1,0,18,0
3,1,0,18,0
3,1,0,18,0
3,1,0,18,0
3,1,0,18,0
3,1,0,18,0
3,2,5,6,0.8333
3,2,4,6,0.6667
3,2,5,6,0.8333
3,2,4,6,0.6667
3,2,5,6,0.8333
3,2,2,6,0.3333
3,2,5,6,0.8333
3,2,4,6,0.6667
3,2,1,6,0.1667
3,2,0,6,0
3,2,4,6,0.6667
3,2,2,6,0.3333
3,2,0,6,0
3,2,0,6,0
3,2,0,6,0
3,2,0,6,0
3,3,0,11,0
3,3,0,11,0
3,3,0,11,0
3,3,0,11,0
3,3,3,11,0.2727
3,3,1,11,0.0909
3,3,1,11,0.0909
3,3,0,11,0
3,3,2,11,0.1818
3,3,1,11,0.0909
3,3,1,11,0.0909
3,3,1,11,0.0909
3,3,1,11,0.0909
3,3,0,11,0
3,3,2,11,0.1818
3,3,1,11,0.0909
3,3,1,11,0.0909
3,3,0,11,0
3,3,1,11,0.0909
3,4,0,8,0
3,4,2,8,0.25
3,4,0,8,0
3,4,0,8,0
3,4,0,8,0
3,4,3,8,0.375
3,4,0,8,0
3,4,0,8,0
3,4,3,8,0.375
3,4,2,8,0.25
3,4,0,8,0
3,4,2,8,0.25
3,4,3,8,0.375
3,4,0,8,0
3,4,0,8,0
3,5,1,4,0.25
3,5,2,4,0.5
3,5,0,4,0
3,5,0,4,0
3,5,3,4,0.75
3,5,0,4,0
3,5,0,4,0
3,5,4,4,1
3,5,0,4,0
3,5,0,4,0
3,5,0,4,0
3,5,0,4,0
3,5,0,4,0
3,5,0,4,0
3,5,2,4,0.5
3,5,0,4,0
3,5,2,4,0.5
3,5,2,4,0.5
3,5,3,4,0.75
3,5,0,4,0
3,5,2,4,0.5
4,1,1,19,0.0526
4,1,1,19,0.0526
