X1_Luna,X2_ID_Articol,X3_NR_Comentarii,X4_Rata_Comentare,Y_MEDIE_EVALUARE
3,1,4,0.2,4.5
3,1,4,0.2,4.5
3,1,12,0.0667,4.17
3,1,4,0.2,4.5
3,1,4,0.2,4.5
3,1,4,0.2,4.5
3,1,12,0.0667,4.17
3,1,4,0.2,4.5
3,1,120,0.0375,4.9
3,1,150,0.0366,5
3,1,110,0.0314,4.8
3,1,100,0.0345,4.7
3,1,105,0.0339,4.8
3,1,90,0.0346,4.6
3,1,85,0.0354,4.6
3,1,92,0.0335,4.7
3,1,160,0.0356,5
3,1,135,0.0346,4.9
3,1,78,0.0339,4.5
3,1,96,0.0337,4.7
3,1,90,0.0333,4.6
3,1,145,0.0345,5
3,1,82,0.0342,4.5
3,1,89,0.0336,4.6
3,1,117,0.0344,4.8
3,1,148,0.0344,5
3,2,93,0.0338,4.7
3,2,128,0.0346,4.9
3,2,125,0.0347,4.9
3,2,83,0.0332,4.6
3,2,88,0.0332,4.5
3,2,28,0.0255,3.8
3,2,6,0.0143,2.7
3,2,80,0.0381,4.6
3,2,95,0.0339,4.7
3,2,1,0,5
3,2,1,0,5
3,2,1,0,5
3,2,1,0,5
3,13,3,0.4286,4.67
3,13,3,0.4286,4.67
3,13,3,0.4286,4.67
3,13,3,0.4286,4.67
3,13,45,0.03,4.3
3,13,65,0.0333,4.4
3,13,37,0.0296,3.9
3,13,38,0.0292,3.9
3,13,70,0.0333,4.4
3,13,40,0.0296,4
3,14,19,0.0232,3.3
3,14,11,0.0183,3.1
3,14,18,0.0237,3.4
3,14,8,0.0154,2.8
3,14,10,0.0154,2.9
3,14,4,0.3333,4.33
3,14,4,0.3333,4.33
3,14,4,0.3333,4.33
3,14,4,0.3333,4.33
3,15,0,0,3.67
3,15,0,0,3.67
3,15,12,0.0171,3
3,15,7,0.0146,2.6
3,15,6,0.013,2.7
3,15,8,0.0148,2.7
3,19,112,0.0345,4.8
3,19,62,0.0318,4.2
3,19,61,0.0321,4.2
3,19,43,0.0307,4
3,19,40,0.0296,4
3,19,58,0.0314,4.2
3,19,55,0.0324,4.2
3,19,2,0.1333,4
3,19,2,0.1333,4
3,19,2,0.1333,4
3,19,2,0.1333,4
3,22,1,0.0909,4.17
3,22,1,0.0909,4.67
3,22,1,0.0909,4.17
3,22,1,0.0909,4.67
3,22,35,0.0292,4.1
3,22,22,0.0244,3.6
3,22,72,0.0335,4.4
3,22,48,0.03,4.1
3,22,68,0.0332,4.3
3,22,66,0.033,4.3
3,22,60,0.0324,4.2
3,22,59,0.0328,4.2
3,27,108,0.0354,4.8
3,27,44,0.0303,4
3,27,46,0.0307,4
3,27,9,0.0155,2.8
3,27,109,0.0346,4.8
3,27,115,0.0348,4.8
3,27,60,0.0333,4.4
3,27,130,0.0342,4.9
3,27,1,0.0556,5
3,27,1,0.0556,4.83
3,27,1,0.0556,5
3,27,1,0.0556,4.83
3,28,0,0,4.67
3,28,0,0,4.67
3,28,70,0.0318,4.5
3,28,52,0.0315,4.1
3,28,42,0.029,4
3,28,57,0.0326,4.2
3,28,87,0.0341,4.6
3,28,48,0.031,4
3,28,84,0.0336,4.5
3,28,36,0.03,3.9
4,30,7,0.1556,4.8
4,30,2,0.1667,5
