X1_Luna,X2_ID_Utilizator,X3_NR_Sesiuni_Active,X4_Rata_Autentificare,Y_RATA_RETENTIE
3,1,2,0.3333,0.5
3,1,3,0.2,0.2
3,1,2,0.3333,0.5
3,1,3,0.2,0.2
3,1,480,0.96,0.92
3,1,400,0.8,0.85
3,1,280,0.56,0.72
3,1,460,0.92,0.9
3,1,100,0.2,0.35
3,1,485,0.97,0.94
3,1,462,0.924,0.905
3,1,370,0.74,0.82
3,1,488,0.976,0.95
3,1,472,0.944,0.92
3,1,458,0.916,0.895
3,1,372,0.744,0.82
3,1,132,0.264,0.43
3,1,498,0.996,0.975
3,1,322,0.644,0.76
3,1,378,0.756,0.83
3,1,118,0.236,0.39
3,1,449,0.898,0.88
3,1,499,0.998,0.98
3,2,268,0.536,0.69
3,2,350,0.7,0.805
3,2,308,0.616,0.73
3,2,484,0.968,0.945
3,2,108,0.216,0.36
3,2,342,0.684,0.785
3,2,298,0.596,0.72
3,2,332,0.664,0.77
3,2,345,0.69,0.79
3,2,452,0.904,0.885
3,2,288,0.576,0.7
3,2,325,0.65,0.76
3,2,295,0.59,0.71
3,2,455,0.91,0.89
3,2,360,0.72,0.81
3,2,340,0.68,0.78
3,2,470,0.94,0.91
3,2,350,0.7,0.8
3,2,450,0.9,0.88
3,2,2,0.3333,0.6667
3,2,1,0.1667,0.6667
3,2,2,0.3333,0.6667
3,2,1,0.1667,0.6667
3,3,1,0.1667,0.6667
3,3,1,0.1667,0.6667
3,3,1,0.1667,0.6667
3,3,1,0.1667,0.6667
3,3,2,0.3333,0.6667
3,3,1,0.1667,0.6667
3,3,1,0.1667,0.6667
3,3,2,0.3333,0.6667
3,3,2,0.3333,0.6667
3,3,1,0.1667,0.6667
3,3,320,0.64,0.75
3,3,1,0.1667,0.6667
3,3,2,0.3333,0.6667
3,3,490,0.98,0.95
3,3,380,0.76,0.83
3,3,2,0.3333,0.6667
3,3,2,0.3333,0.6667
3,3,170,0.34,0.5
3,3,440,0.88,0.87
3,3,120,0.24,0.38
3,3,500,1,0.98
3,3,478,0.956,0.93
3,3,388,0.776,0.835
3,3,105,0.21,0.34
3,3,435,0.87,0.86
3,3,482,0.964,0.94
3,3,474,0.948,0.925
3,3,445,0.89,0.87
3,3,348,0.696,0.8
3,3,178,0.356,0.53
3,3,476,0.952,0.928
3,3,443,0.886,0.87
3,3,479,0.958,0.935
3,4,292,0.584,0.715
3,4,456,0.912,0.892
3,4,346,0.692,0.795
3,4,442,0.884,0.865
3,4,285,0.57,0.705
3,4,454,0.908,0.89
3,4,128,0.256,0.4
3,4,352,0.704,0.805
3,4,318,0.636,0.755
3,4,448,0.896,0.88
3,4,155,0.31,0.45
3,4,310,0.62,0.74
3,4,240,0.48,0.65
3,4,475,0.95,0.92
3,4,140,0.28,0.42
3,4,2,0.3333,0.5
3,4,2,0.3333,0.5
3,4,1,0.1667,0.5
3,4,210,0.42,0.58
3,4,1,0.1667,0.5
3,4,1,0.1667,0.5
3,4,2,0.3333,0.5
3,4,2,0.3333,0.5
3,4,0,0,0.5
3,4,1,0.1667,0.5
3,4,0,0,0.5
3,4,1,0.1667,0.5
3,4,1,0.1667,0.5
3,4,1,0.1667,0.5
3,4,1,0.1667,0.5
4,2,2,0.3333,0.6667
4,20,1,0.05,0.05
