X1_Luna,X2_ID_Autor,X3_ID_Categorie,X4_Rata_Publicare,X5_NR_Articole_Create,Y_NR_ARTICOLE_PUBLICATE
3,1,1,0.6,5,3
3,1,1,0.6,5,3
3,1,1,0.6,5,3
3,1,1,0.6,5,3
3,1,1,0.8333,6,5
3,1,4,0.875,8,7
3,1,3,0.8333,6,5
3,1,2,0.875,8,7
3,1,1,0.2857,7,2
3,1,5,0.9,10,9
3,1,4,0.8889,9,8
3,1,3,0.8571,7,6
3,1,1,0.9,10,9
3,1,5,0.8889,9,8
3,1,3,0.8571,7,6
3,1,2,0.2857,7,2
3,1,1,1,10,10
3,1,5,0.7143,7,5
3,1,3,0.8571,7,6
3,1,2,0.25,8,2
3,1,4,0.875,8,7
3,1,1,1,10,10
3,2,5,0.5714,7,4
3,2,3,0.75,8,6
3,2,4,0.625,8,5
3,2,1,0.9,10,9
3,2,2,0.1667,6,1
3,2,3,0.7143,7,5
3,2,4,0.625,8,5
3,2,1,0.875,8,7
3,2,3,0.75,8,6
3,2,5,0.7143,7,5
3,2,2,0.7143,7,5
3,2,4,0.7143,7,5
3,2,5,0.625,8,5
3,2,1,0.875,8,7
3,2,2,0.8571,7,6
3,2,3,0.7143,7,5
3,2,4,0.8889,9,8
3,2,5,0.7143,7,5
3,2,1,0.8889,9,8
3,2,1,0.75,24,18
3,2,1,0.6667,12,8
3,2,1,0.75,24,18
3,2,1,0.6667,12,8
3,2,1,0.6667,12,8
3,2,1,0.6667,12,8
3,2,1,0.6667,12,8
3,2,1,0.6667,12,8
3,3,1,0.6667,12,8
3,3,1,0.6667,12,8
3,3,5,0.6667,12,8
3,3,1,0.6667,12,8
3,3,1,0.6667,12,8
3,3,1,0.6667,12,8
3,3,1,0.6667,12,8
3,3,5,0.6667,12,8
3,3,2,0.75,8,6
3,3,1,0.9,10,9
3,3,5,0.75,8,6
3,3,5,0.6667,6,4
3,3,5,0.6667,6,4
3,3,4,0.5,6,3
3,3,3,0.875,8,7
3,3,2,0.3333,6,2
3,3,1,1,10,10
3,3,5,0.8889,9,8
3,3,3,0.8571,7,6
3,3,1,0.9,10,9
3,3,4,0.875,8,7
3,3,2,0.1429,7,1
3,3,5,0.8889,9,8
3,3,4,0.875,8,7
3,3,3,0.75,8,6
3,3,2,0.375,8,3
3,3,5,0.8889,9,8
3,3,4,0.875,8,7
3,3,1,0.8889,9,8
3,3,4,0.8889,9,8
3,4,5,0.7143,7,5
3,4,1,0.875,8,7
3,4,3,0.8571,7,6
3,4,4,0.875,8,7
3,4,5,0.625,8,5
3,4,1,0.875,8,7
3,4,3,0.75,8,6
3,4,5,0.2857,7,2
3,4,4,0.625,8,5
3,4,1,0.875,8,7
3,4,2,0.3333,9,3
3,4,3,0.7143,7,5
3,4,4,0.5,8,4
3,4,5,0.8889,9,8
3,4,2,0.375,8,3
3,4,3,0.5714,7,4
3,4,5,0.5455,11,6
3,4,2,0.5,4,2
3,4,3,0.7333,15,11
3,4,1,0.5455,11,6
3,4,2,0.5455,11,6
3,4,3,0.5455,11,6
3,4,2,0.5,4,2
3,4,3,0.7333,15,11
3,4,1,0.5455,11,6
3,4,1,0.5455,11,6
3,4,5,0.5455,11,6
3,4,2,0.5455,11,6
3,4,3,0.5455,11,6
3,4,1,0.5455,11,6
4,2,1,0.6923,13,9
4,2,1,0.6923,13,9
